method,model_id,test_scale,instance_index,preference_id,cost_weight,risk_weight,expected_restarts,observed_restarts,feasible_rate,all_restarts_feasible,terminal_clear_rate,technical_failure_rate,missing_rate,runtime_seconds,successful_runtime_seconds_conditional,failed_runtime_seconds_conditional,solver_status,cost,risk,normalized_cost,normalized_risk,weighted_objective_raw,weighted_objective_normalized,fixed_cost,distance_cost,processing_cost,transport_risk,coload_risk,producer_inventory_risk,facility_inventory_risk
ga,GA,Test-2,41,C100-R000,1.0,0.0,3,3,1.0,True,1.0,0.0,0.0,3.2333257667099438,3.2333257667099438,,completed,2281.8872100000003,42.695493928653455,0.7258159814582191,0.7792867129627844,2281.8872100000003,0.7258159814582191,150.0,1838.7150000000001,293.17221,15.621529564184657,1.9586533644688,25.115310999999995,0.0
ga,GA,Test-2,42,C000-R100,0.0,1.0,3,3,1.0,True,1.0,0.0,0.0,3.1101715666785217,3.1101715666785217,,completed,3275.4348269999996,37.021259947185165,0.7640959808496562,0.5703155561477278,37.021259947185165,0.5703155561477278,200.0,2476.2670000000003,599.167827,14.05087094718517,0.0,22.970388999999997,0.0
ga,GA,Test-2,42,C025-R075,0.25,0.75,3,3,1.0,True,1.0,0.0,0.0,3.3039023333306736,3.3039023333306736,,completed,3118.0158270000006,36.45758716074086,0.7273731542442065,0.5616321304851507,806.8471471205556,0.6030673864249146,200.0,2318.8480000000004,599.167827,13.48719816074086,0.0,22.970388999999997,0.0
ga,GA,Test-2,42,C050-R050,0.5,0.5,3,3,1.0,True,1.0,0.0,0.0,3.1786235000472516,3.1786235000472516,,completed,2885.6418269999995,38.2087827255547,0.673164767012584,0.5886094422755933,1461.925304862777,0.6308871046440886,200.0,2086.4739999999997,599.167827,15.238393725554701,0.0,22.970388999999997,0.0
ga,GA,Test-2,42,C075-R025,0.75,0.25,3,3,1.0,True,1.0,0.0,0.0,3.1012432999753705,3.1012432999753705,,completed,2812.2188269999992,38.21503249335984,0.656036592536492,0.5887057204629557,2118.7178783733398,0.6392038745181079,200.0,2013.0510000000002,599.167827,15.244643493359847,0.0,22.970388999999997,0.0
ga,GA,Test-2,42,C100-R000,1.0,0.0,3,3,1.0,True,1.0,0.0,0.0,3.1583903666663296,3.1583903666663296,,completed,2777.2548269999993,44.55467880295075,0.6478801634559304,0.6863684935828407,2777.2548269999993,0.6478801634559304,200.0,1978.0870000000002,599.167827,21.584289802950753,0.0,22.970388999999997,0.0
ga,GA,Test-2,43,C000-R100,0.0,1.0,3,3,1.0,True,1.0,0.0,0.0,2.933922733335445,2.933922733335445,,completed,3015.535691333334,49.42156241997713,0.8999885452059302,0.6351562485682819,49.42156241997713,0.6351562485682819,150.0,2171.387,694.1486913333333,16.96564791168537,0.650350508291757,31.805563999999993,0.0
ga,GA,Test-2,43,C025-R075,0.25,0.75,3,3,1.0,True,1.0,0.0,0.0,3.189398233390724,3.189398233390724,,completed,2533.9211913333334,48.014233094692536,0.7562503913346917,0.6170695274899015,669.4909726543527,0.6518647434510991,150.0,1684.7849999999999,699.1361913333334,15.652602873877486,0.556066220815053,31.805563999999993,0.0
ga,GA,Test-2,43,C050-R050,0.5,0.5,3,3,1.0,True,1.0,0.0,0.0,3.087784833352392,3.087784833352392,,completed,2165.629358,50.649984931319324,0.6463334594126109,0.6509436942854078,1108.1396714656598,0.6486385768490094,150.0,1447.4759999999999,568.153358,17.324786422571247,1.519634508748083,31.805563999999993,0.0
ga,GA,Test-2,43,C075-R025,0.75,0.25,3,3,1.0,True,1.0,0.0,0.0,3.0483835000001513,3.0483835000001513,,completed,1985.102358,55.17507633572052,0.5924550614326641,0.7090992834677979,1502.6205375839302,0.6216161169414476,150.0,1266.9489999999998,568.153358,21.409683455116934,1.9598288806035808,31.805563999999993,0.0
