model_id,test_scale,instance_index,preference_id,ppo_j,ga_j,delta_j_percent
Train-L,Test-1,16,C000-R100,0.19675612876135026,0.6131102779643656,67.90852545897364
Train-L,Test-1,16,C025-R075,0.48762724902553733,0.6330743763413917,22.974729787108075
Train-L,Test-1,16,C050-R050,0.6225799379136423,0.6564962247517561,5.166257711678187
Train-L,Test-1,16,C075-R025,0.6314973290676927,0.6799180731621202,7.121555670558259
Train-L,Test-1,16,C100-R000,0.6391924988971268,0.7021177002478683,8.96220125607531
Train-L,Test-1,17,C000-R100,0.16790782831208126,0.45009415926269974,62.69495507625973
Train-L,Test-1,17,C025-R075,0.5374430750733387,0.5843571501975376,8.028322252639507
Train-L,Test-1,17,C050-R050,0.6578114444148927,0.701077291749594,6.171337717518697
Train-L,Test-1,17,C075-R025,0.7228084024273184,0.7619886821452352,5.141845362796222
Train-L,Test-1,17,C100-R000,0.7878053604397444,0.8025028697187034,1.8314587814634118
Train-L,Test-1,18,C000-R100,0.10553650263611959,0.5675817687613454,81.40593858988181
Train-L,Test-1,18,C025-R075,0.5435838100678296,0.6421428838009943,15.34846468277751
Train-L,Test-1,18,C050-R050,0.7044183146655518,0.7102954936225587,0.8274273185984695
Train-L,Test-1,18,C075-R025,0.6730404834229717,0.7290471236768851,7.682170114251156
Train-L,Test-1,18,C100-R000,0.603852694400263,0.7365948424414559,18.021053147917357
Train-L,Test-1,19,C000-R100,0.4682141726249296,0.857300492444438,45.38505731054683
Train-L,Test-1,19,C025-R075,0.7719032918096463,0.8946023683860719,13.71548756323814
Train-L,Test-1,19,C050-R050,0.9254487956968239,0.9319042443277059,0.6927158739940149
Train-L,Test-1,19,C075-R025,0.9655387131211418,0.9655387131211417,-1.1498482759291101e-14
Train-L,Test-1,19,C100-R000,0.9982374176928616,0.9982374176928616,0.0
Train-L,Test-1,20,C000-R100,0.2631532444894458,0.5991103626890109,56.075998534172456
Train-L,Test-1,20,C025-R075,0.6661947583505335,0.6993327720167581,4.738518626927799
Train-L,Test-1,20,C050-R050,0.7995551813445054,0.7995551813445054,0.0
Train-L,Test-1,20,C075-R025,0.8997775906722527,0.8997775906722527,0.0
Train-L,Test-1,20,C100-R000,1.0,1.0,0.0
Train-L,Test-1,21,C000-R100,0.14694339317864402,0.6519972535577564,77.46257482269789
Train-L,Test-1,21,C025-R075,0.4437132934871974,0.688170342842815,35.5227527454571
Train-L,Test-1,21,C050-R050,0.6807650926127441,0.726019663909604,6.2332431952551834
Train-L,Test-1,21,C075-R025,0.7118190450166998,0.7118190450166996,-3.119396797255152e-14
Train-L,Test-1,21,C100-R000,0.6877361892970703,0.6877361892970703,0.0
Train-L,Test-1,22,C000-R100,0.16701752513906923,0.5335571270255423,68.69734904111331
Train-L,Test-1,22,C025-R075,0.542964247044261,0.6817324360078109,20.355227598699717
Train-L,Test-1,22,C050-R050,0.7790569505043687,0.8002675161096332,2.6504344082808813
Train-L,Test-1,22,C075-R025,0.8594087749504512,0.8594087749504512,0.0
Train-L,Test-1,22,C100-R000,0.9185500337912694,0.9185500337912694,0.0
Train-L,Test-1,23,C000-R100,0.18889190867410743,0.6269428321994427,69.87095170839798
Train-L,Test-1,23,C025-R075,0.44229017181418456,0.7052463559622021,37.28572036210716
Train-L,Test-1,23,C050-R050,0.5971900297442507,0.7497914421038055,20.352514551430126
