method,model_id,instance_index,preference_id,weighted_objective_normalized,milp_j,milp_status,gap_percent
ga,GA,42,C100-R000,0.7965507700149376,0.6649596853829833,optimal,19.789332725662064
ga,GA,43,C000-R100,0.7430029146477118,0.16520539904239265,solver_status_1,
ga,GA,43,C025-R075,0.8242130208630402,0.522262385232778,solver_status_1,
ga,GA,43,C050-R050,0.8666787426523826,0.7543077488851468,optimal,14.897234442217794
ga,GA,43,C075-R025,0.8909744771219685,0.8788793020344842,optimal,1.3762043388080374
ga,GA,43,C100-R000,0.9207585844806837,0.9207585844806839,optimal,-2.4115398831743334e-14
ga,GA,44,C000-R100,0.587693698740218,0.11710232250859844,solver_status_1,
ga,GA,44,C025-R075,0.6465465126412915,0.40457369589191017,solver_status_1,
ga,GA,44,C050-R050,0.7128976630390739,0.6185836341663645,solver_status_1,
ga,GA,44,C075-R025,0.7469972281580137,0.6858522930201291,optimal,8.91517543356673
ga,GA,44,C100-R000,0.7771681107180669,0.7169750861636229,optimal,8.395413692339535
ga,GA,45,C000-R100,0.7221139060091498,0.0992482922738486,solver_status_1,
ga,GA,45,C025-R075,0.7727914942610686,0.3564066909770988,solver_status_1,
ga,GA,45,C050-R050,0.7950585098525798,0.5492791592940305,optimal,44.745799362648484
ga,GA,45,C075-R025,0.8379501475591294,0.6495803827341691,optimal,28.998684355596964
ga,GA,45,C100-R000,0.8495142778844157,0.6249076103764691,optimal,35.942379925991716
ga,GA,46,C000-R100,0.6423464406316359,0.21398696351236082,solver_status_1,
ga,GA,46,C025-R075,0.7045772700332779,0.5532370400692759,solver_status_1,
ga,GA,46,C050-R050,0.7233620316616699,0.7156739300040396,solver_status_1,
ga,GA,46,C075-R025,0.7250065694180723,0.725006569418024,optimal,6.6612777881394025e-12
ga,GA,46,C100-R000,0.7266511071744747,0.726651107174476,optimal,-1.8334350782600506e-13
ga,GA,47,C000-R100,0.7482046610886036,0.13631200566044727,solver_status_1,
ga,GA,47,C025-R075,0.8142423195629834,0.5707811924384987,solver_status_1,
ga,GA,47,C050-R050,0.8710411796690861,0.7803996344094264,optimal,11.614760087407452
ga,GA,47,C075-R025,0.9253137271342036,0.8252649176167702,optimal,12.123235506770104
ga,GA,47,C100-R000,0.977265914434072,0.8419256430971164,optimal,16.075086018177505
ga,GA,48,C000-R100,0.7956999195051523,0.4346163574295936,solver_status_1,
ga,GA,48,C025-R075,0.8459919575089175,0.7442386219690842,solver_status_1,
ga,GA,48,C050-R050,0.8962839955126828,0.87544756870654,optimal,2.380088488557725
ga,GA,48,C075-R025,0.9357165389781192,0.9357165389781253,optimal,-6.525722674632675e-13
ga,GA,48,C100-R000,0.9708333519238308,0.9708333519238298,optimal,1.0292196082701502e-13
ga,GA,49,C000-R100,0.7322916908319725,0.2077429525479217,solver_status_1,
ga,GA,49,C025-R075,0.7841349466537798,0.5676541745714285,solver_status_1,
ga,GA,49,C050-R050,0.8427419463484934,0.681857126875218,optimal,23.59509245148915
ga,GA,49,C075-R025,0.8727355584263092,0.7586760274809267,optimal,15.034023326676163
ga,GA,49,C100-R000,0.866415061069478,0.780633525083888,optimal,10.988707662327442
heuristic,Heuristic,0,C000-R100,1.0,0.4478660206239858,solver_status_1,
heuristic,Heuristic,0,C025-R075,1.0,0.8409941226443387,solver_status_1,
heuristic,Heuristic,0,C050-R050,1.0,0.9092155494790213,optimal,9.984920580493595
