archive_id,instance,model,repeat,preference_index,preference,candidate_budget,actual_candidate_attempts,unused_candidate_budget,stop_reason,batches,seconds,final_validation_evaluations,preference_initialization_evaluations
PPO-Test-1-small-r2-B252000,Test-1,small,2,12,"(0.6, 0.4)",12000,1323,10677,positive_probability_action_space_exhausted,166,2.159159200004069,1,1
PPO-Test-1-small-r2-B252000,Test-1,small,2,13,"(0.65, 0.35)",12000,1119,10881,positive_probability_action_space_exhausted,140,1.6887947999930475,1,1
PPO-Test-1-small-r2-B252000,Test-1,small,2,14,"(0.7, 0.30000000000000004)",12000,1263,10737,positive_probability_action_space_exhausted,158,1.9367267999914475,1,1
PPO-Test-1-small-r2-B252000,Test-1,small,2,15,"(0.75, 0.25)",12000,1119,10881,positive_probability_action_space_exhausted,140,1.7044300999987172,1,1
PPO-Test-1-small-r2-B252000,Test-1,small,2,16,"(0.8, 0.19999999999999996)",12000,1119,10881,positive_probability_action_space_exhausted,140,1.753187700000126,1,1
PPO-Test-1-small-r2-B252000,Test-1,small,2,17,"(0.85, 0.15000000000000002)",12000,1319,10681,positive_probability_action_space_exhausted,165,2.1001967000047443,1,1
PPO-Test-1-small-r2-B252000,Test-1,small,2,18,"(0.9, 0.09999999999999998)",12000,1175,10825,positive_probability_action_space_exhausted,147,1.8351825999998255,1,1
PPO-Test-1-small-r2-B252000,Test-1,small,2,19,"(0.95, 0.050000000000000044)",12000,1185,10815,positive_probability_action_space_exhausted,149,1.8834679999999935,1,1
PPO-Test-1-small-r2-B252000,Test-1,small,2,20,"(1.0, 0.0)",12000,1160,10840,positive_probability_action_space_exhausted,146,1.814540899998974,1,1
PPO-Test-1-large-r2-B252000,Test-1,large,2,0,"(0.0, 1.0)",12000,1179,10821,positive_probability_action_space_exhausted,148,1.8981302000029245,1,1
PPO-Test-1-large-r2-B252000,Test-1,large,2,1,"(0.05, 0.95)",12000,1183,10817,positive_probability_action_space_exhausted,148,2.017766799996025,1,1
PPO-Test-1-large-r2-B252000,Test-1,large,2,2,"(0.1, 0.9)",12000,1161,10839,positive_probability_action_space_exhausted,146,1.9691586999979336,1,1
PPO-Test-1-large-r2-B252000,Test-1,large,2,3,"(0.15, 0.85)",12000,1163,10837,positive_probability_action_space_exhausted,146,2.0180786999990232,1,1
PPO-Test-1-large-r2-B252000,Test-1,large,2,4,"(0.2, 0.8)",12000,1168,10832,positive_probability_action_space_exhausted,147,1.9883223000069847,1,1
PPO-Test-1-large-r2-B252000,Test-1,large,2,5,"(0.25, 0.75)",12000,1179,10821,positive_probability_action_space_exhausted,148,2.0379817000066396,1,1
