archive_id,instance,model,repeat,preference_index,preference,candidate_budget,actual_candidate_attempts,unused_candidate_budget,stop_reason,batches,seconds,final_validation_evaluations,preference_initialization_evaluations
PPO-Test-1-large-r2-B40320,Test-1,large,2,18,"(0.9, 0.09999999999999998)",1920,1119,801,positive_probability_action_space_exhausted,140,1.1769009999989066,1,1
PPO-Test-1-large-r2-B40320,Test-1,large,2,19,"(0.95, 0.050000000000000044)",1920,1119,801,positive_probability_action_space_exhausted,140,1.292840599999181,1,1
PPO-Test-1-large-r2-B40320,Test-1,large,2,20,"(1.0, 0.0)",1920,1185,735,positive_probability_action_space_exhausted,149,1.2703964000102133,1,1
PPO-Test-2-small-r0-B40320,Test-2,small,0,0,"(0.0, 1.0)",1920,1920,0,candidate_budget_reached,240,3.445729200000642,1,1
PPO-Test-2-small-r0-B40320,Test-2,small,0,1,"(0.05, 0.95)",1920,1920,0,candidate_budget_reached,240,3.5409450000006473,1,1
PPO-Test-2-small-r0-B40320,Test-2,small,0,2,"(0.1, 0.9)",1920,1920,0,candidate_budget_reached,240,3.419365599998855,1,1
PPO-Test-2-small-r0-B40320,Test-2,small,0,3,"(0.15, 0.85)",1920,1920,0,candidate_budget_reached,240,3.679059400004917,1,1
PPO-Test-2-small-r0-B40320,Test-2,small,0,4,"(0.2, 0.8)",1920,1920,0,candidate_budget_reached,240,3.5338858000031905,1,1
PPO-Test-2-small-r0-B40320,Test-2,small,0,5,"(0.25, 0.75)",1920,1920,0,candidate_budget_reached,240,3.5490151999983937,1,1
PPO-Test-2-small-r0-B40320,Test-2,small,0,6,"(0.3, 0.7)",1920,1920,0,candidate_budget_reached,240,3.5946917999972356,1,1
PPO-Test-2-small-r0-B40320,Test-2,small,0,7,"(0.35, 0.65)",1920,1920,0,candidate_budget_reached,240,3.4130045999918366,1,1
PPO-Test-2-small-r0-B40320,Test-2,small,0,8,"(0.4, 0.6)",1920,1920,0,candidate_budget_reached,240,3.387851599996793,1,1
PPO-Test-2-small-r0-B40320,Test-2,small,0,9,"(0.45, 0.55)",1920,1920,0,candidate_budget_reached,240,3.2896516999899177,1,1
PPO-Test-2-small-r0-B40320,Test-2,small,0,10,"(0.5, 0.5)",1920,1920,0,candidate_budget_reached,240,3.308874599999399,1,1
PPO-Test-2-small-r0-B40320,Test-2,small,0,11,"(0.55, 0.44999999999999996)",1920,1920,0,candidate_budget_reached,240,3.527935799997067,1,1
PPO-Test-2-small-r0-B40320,Test-2,small,0,12,"(0.6, 0.4)",1920,1920,0,candidate_budget_reached,240,3.3699930000002496,1,1
PPO-Test-2-small-r0-B40320,Test-2,small,0,13,"(0.65, 0.35)",1920,1765,155,positive_probability_action_space_exhausted,221,2.894225900003221,1,1
PPO-Test-2-small-r0-B40320,Test-2,small,0,14,"(0.7, 0.30000000000000004)",1920,1920,0,candidate_budget_reached,240,3.3058024999918416,1,1
PPO-Test-2-small-r0-B40320,Test-2,small,0,15,"(0.75, 0.25)",1920,1920,0,candidate_budget_reached,240,3.2370078999956604,1,1
PPO-Test-2-small-r0-B40320,Test-2,small,0,16,"(0.8, 0.19999999999999996)",1920,1920,0,candidate_budget_reached,240,3.2382698000001255,1,1
PPO-Test-2-small-r0-B40320,Test-2,small,0,17,"(0.85, 0.15000000000000002)",1920,1806,114,positive_probability_action_space_exhausted,226,3.030516400001943,1,1
PPO-Test-2-small-r0-B40320,Test-2,small,0,18,"(0.9, 0.09999999999999998)",1920,1920,0,candidate_budget_reached,240,3.3034035000018775,1,1
PPO-Test-2-small-r0-B40320,Test-2,small,0,19,"(0.95, 0.050000000000000044)",1920,1920,0,candidate_budget_reached,240,3.342601399999694,1,1
PPO-Test-2-small-r0-B40320,Test-2,small,0,20,"(1.0, 0.0)",1920,1660,260,positive_probability_action_space_exhausted,208,2.7904377999948338,1,1
PPO-Test-2-large-r0-B40320,Test-2,large,0,0,"(0.0, 1.0)",1920,1920,0,candidate_budget_reached,240,3.765909299996565,1,1
PPO-Test-2-large-r0-B40320,Test-2,large,0,1,"(0.05, 0.95)",1920,1920,0,candidate_budget_reached,240,3.8125327000016114,1,1
PPO-Test-2-large-r0-B40320,Test-2,large,0,2,"(0.1, 0.9)",1920,1920,0,candidate_budget_reached,240,3.8405886000109604,1,1
PPO-Test-2-large-r0-B40320,Test-2,large,0,3,"(0.15, 0.85)",1920,1920,0,candidate_budget_reached,240,3.7590428999974392,1,1
PPO-Test-2-large-r0-B40320,Test-2,large,0,4,"(0.2, 0.8)",1920,1920,0,candidate_budget_reached,240,3.701205800010939,1,1
PPO-Test-2-large-r0-B40320,Test-2,large,0,5,"(0.25, 0.75)",1920,1920,0,candidate_budget_reached,240,3.689171099991654,1,1
PPO-Test-2-large-r0-B40320,Test-2,large,0,6,"(0.3, 0.7)",1920,1920,0,candidate_budget_reached,240,3.703849800003809,1,1
PPO-Test-2-large-r0-B40320,Test-2,large,0,7,"(0.35, 0.65)",1920,1920,0,candidate_budget_reached,240,3.370906299998751,1,1
PPO-Test-2-large-r0-B40320,Test-2,large,0,8,"(0.4, 0.6)",1920,1920,0,candidate_budget_reached,240,3.469434300001012,1,1
PPO-Test-2-large-r0-B40320,Test-2,large,0,9,"(0.45, 0.55)",1920,1920,0,candidate_budget_reached,240,3.6257728000055067,1,1
PPO-Test-2-large-r0-B40320,Test-2,large,0,10,"(0.5, 0.5)",1920,1920,0,candidate_budget_reached,240,3.358852100005606,1,1
PPO-Test-2-large-r0-B40320,Test-2,large,0,11,"(0.55, 0.44999999999999996)",1920,1920,0,candidate_budget_reached,240,3.4102752000035252,1,1
PPO-Test-2-large-r0-B40320,Test-2,large,0,12,"(0.6, 0.4)",1920,1810,110,positive_probability_action_space_exhausted,227,3.0487718999938807,1,1
PPO-Test-2-large-r0-B40320,Test-2,large,0,13,"(0.65, 0.35)",1920,1920,0,candidate_budget_reached,240,3.2315024999988964,1,1
